family,scientificName,endemic,altitude
ERIOCAULACEAE,"Comanthera pignalii",yes,905
Fabaceae,"Albizia robsonii",yes,
BROMELIACEAE,"Encholirum splendidum",yes,
BROMELIACEAE,"Encholirium splendidum",yes,470
ERIOCAULACEAE,"Syngonanthus incurvifolius",yes,
ERIOCAULACEAE,"Syngonanthus vittatus",yes,
CYPERACEAE,"Abildgaardia papillosa",yes,1000
ORCHIDACEAE,"Acianthera amaralii",yes,
MALPIGHIACEAE,"Acmanthera fernandesii",yes,
ERIOCAULACEAE,"Actinocephalus aggregatus",yes,
ERIOCAULACEAE,"Actinocephalus callophyllus",yes,
ERIOCAULACEAE,"Actinocephalus compactus",yes,
ERIOCAULACEAE,"Actinocephalus coutoensis",yes,10
ERIOCAULACEAE,"Actinocephalus deflexus",yes,
ERIOCAULACEAE,"Actinocephalus diffusus",yes,
ERIOCAULACEAE,"Actinocephalus falcifolius",yes,1430
ERIOCAULACEAE,"Actinocephalus fimbriatus",yes,
ERIOCAULACEAE,"Actinocephalus glabrescens",yes,
ERIOCAULACEAE,"Actinocephalus graminifolius",yes,
ERIOCAULACEAE,"Actinocephalus herzogii",yes,1350~1500
ERIOCAULACEAE,"Actinocephalus nodifer",yes,
ERIOCAULACEAE,"Actinocephalus robustus",yes,
ERIOCAULACEAE,"Actinocephalus stereophyllus",yes,1200~1334
BIGNONIACEAE,"Adenocalymma subspicatum",yes,753
FABACEAE,"Aeschynomene graminoides",yes,984~1100
FABACEAE,"Aeschynomene simplicifolia",yes,1200
BROMELIACEAE,"Alcantarea burle-marxii",yes,620~1000
BROMELIACEAE,"Alcantarea hatschbachii",yes,
ALSTROEMERIACEAE,"Alstroemeria chapadensis",yes,
MALPIGHIACEAE,"Amorimia velutina",yes,
POACEAE,"Andropogon campestris",unkown,
PLANTAGINACEAE,"Angelonia pratensis",yes,300~1100
ARACEAE,"Anthurium megapetiolatum",yes,1287~1970
CUCURBITACEAE,"Apodanthera villosa",yes,950~1297
APODANTHACEAE,"Apodanthes minarum",yes,400
POLYGALACEAE,"Asemeia marquesiana",yes,
POLYGALACEAE,"Asemeia pohliana",,
ASTERACEAE,"Aspilia discolor",yes,
ASTERACEAE,"Aspilia goiazensis",yes,
ASTERACEAE,"Aspilia hatschbachii",yes,
ASTERACEAE,"Aspilia podophylla",yes,
ASTERACEAE,"Aspilia pseudoyedaea",yes,900
ARECACEAE,"Attalea pindobassu",yes,350~1200
POACEAE,"Axonopus aureus",no,0~2100
POACEAE,"Axonopus grandifolius",yes,500~1070
MALPIGHIACEAE,"Banisteriopsis arborea",yes,1000~1400
MALPIGHIACEAE,"Banisteriopsis byssacea",yes,
MALPIGHIACEAE,"Banisteriopsis goiana",yes,500~800
VELLOZIACEAE,"Barbacenia andersonii",yes,1750
VELLOZIACEAE,"Barbacenia blackii",yes,1200
