family,scientificName,habitat
ERIOCAULACEAE,"Comanthera pignalii","2 Savanna"
ERIOCAULACEAE,"Comanthera pignalii",
Fabaceae,"Albizia robsonii","1.5 Subtropical/Tropical Dry Forest"
Fabaceae,"Albizia robsonii","1.7 Subtropical/Tropical Mangrove Forest Vegetation Above High Tide Level"
Fabaceae,"Albizia robsonii",
BROMELIACEAE,"Encholirum splendidum","2.1 Dry Savanna"
BROMELIACEAE,"Encholirium splendidum","2.1 Dry Savanna"
ERIOCAULACEAE,"Syngonanthus incurvifolius","2 Savanna"
ERIOCAULACEAE,"Syngonanthus vittatus","2 Savanna"
CYPERACEAE,"Abildgaardia papillosa","2.1 Dry Savanna"
ORCHIDACEAE,"Acianthera amaralii","2.1 Dry Savanna"
MALPIGHIACEAE,"Acmanthera fernandesii","2 Savanna"
ERIOCAULACEAE,"Actinocephalus aggregatus","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus callophyllus","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus compactus","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus coutoensis","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus deflexus","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus diffusus","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus falcifolius","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus fimbriatus","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus glabrescens","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus graminifolius","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus herzogii","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus nodifer","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus robustus","2.1 Dry Savanna"
ERIOCAULACEAE,"Actinocephalus stereophyllus","2.1 Dry Savanna"
BIGNONIACEAE,"Adenocalymma subspicatum","2.1 Dry Savanna"
FABACEAE,"Aeschynomene graminoides","2 Savanna"
FABACEAE,"Aeschynomene graminoides","2.1 Dry Savanna"
FABACEAE,"Aeschynomene graminoides","2.2 Moist Savana"
FABACEAE,"Aeschynomene graminoides","4.5 Subtropical/Tropical Dry Lowland Grassland"
FABACEAE,"Aeschynomene simplicifolia","2 Savanna"
FABACEAE,"Aeschynomene simplicifolia","2.1 Dry Savanna"
FABACEAE,"Aeschynomene simplicifolia","2.2 Moist Savana"
BROMELIACEAE,"Alcantarea hatschbachii","2.1 Dry Savanna"
ALSTROEMERIACEAE,"Alstroemeria chapadensis","2.1 Dry Savanna"
POACEAE,"Andropogon campestris","2 Savanna"
PLANTAGINACEAE,"Angelonia pratensis","2.1 Dry Savanna"
ARACEAE,"Anthurium megapetiolatum","1.5 Subtropical/Tropical Dry Forest"
ARACEAE,"Anthurium megapetiolatum","1.6 Subtropical/Tropical Moist Lowland Forest"
CUCURBITACEAE,"Apodanthera villosa","2.1 Dry Savanna"
APODANTHACEAE,"Apodanthes minarum","2.1 Dry Savanna"
POLYGALACEAE,"Asemeia marquesiana","4 Grassland"
POLYGALACEAE,"Asemeia pohliana","2 Savanna"
ASTERACEAE,"Aspilia discolor","2.1 Dry Savanna"
ASTERACEAE,"Aspilia goiazensis","2.1 Dry Savanna"
ASTERACEAE,"Aspilia hatschbachii","2.1 Dry Savanna"
ASTERACEAE,"Aspilia podophylla","2.1 Dry Savanna"
ASTERACEAE,"Aspilia pseudoyedaea","2.1 Dry Savanna"
ARECACEAE,"Attalea pindobassu","2.1 Dry Savanna"
POACEAE,"Axonopus aureus","1 Forest"
POACEAE,"Axonopus aureus","2 Savanna"
POACEAE,"Axonopus grandifolius","2 Savanna"
POACEAE,"Axonopus grandifolius","2.1 Dry Savanna"
POACEAE,"Axonopus grandifolius","1.8 Subtropical/Tropical Swamp Forest"
MALPIGHIACEAE,"Banisteriopsis arborea","4.7 Subtropical/Tropical High Altitude Grassland"
MALPIGHIACEAE,"Banisteriopsis goiana","2 Savanna"
VELLOZIACEAE,"Barbacenia andersonii","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia blackii","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia contasana","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia cylindrica","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia fulva","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia glabra","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia hatschbachii","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia lymansmithii","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia minima","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia reflexa","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia regis","2.1 Dry Savanna"
VELLOZIACEAE,"Barbacenia umbrosa","2.1 Dry Savanna"
APOCYNACEAE,"Barjonia grazielae","2.1 Dry Savanna"
FABACEAE,"Bauhinia candelabriformis","2 Savanna"
FABACEAE,"Bauhinia candelabriformis","2.1 Dry Savanna"
FABACEAE,"Bauhinia candelabriformis","2.2 Moist Savana"
FABACEAE,"Bauhinia leptantha","2 Savanna"
FABACEAE,"Bauhinia leptantha","2.1 Dry Savanna"
FABACEAE,"Bauhinia leptantha","2.2 Moist Savana"
FABACEAE,"Bauhinia leptantha","1.5 Subtropical/Tropical Dry Forest"
FABACEAE,"Bauhinia leptantha","4.6 Subtropical/Tropical Seasonally Wet/Flooded Lowland Grassland"
FABACEAE,"Bauhinia malacotrichoides","2 Savanna"
FABACEAE,"Bauhinia malacotrichoides","2.1 Dry Savanna"
FABACEAE,"Bauhinia malacotrichoides","2.2 Moist Savana"
ASTERACEAE,"Bidens edentula","2.1 Dry Savanna"
APOCYNACEAE,"Blepharodon hatschbachii","2.1 Dry Savanna"
FABACEAE,"Bocoa ratteri","2 Savanna"
FABACEAE,"Bocoa ratteri","2.1 Dry Savanna"
FABACEAE,"Bocoa ratteri","2.2 Moist Savana"
CONVOLVULACEAE,"Bonamia kuhlmannii","2.1 Dry Savanna"
CONVOLVULACEAE,"Bonamia kuhlmannii","1.6 Subtropical/Tropical Moist Lowland Forest"
RUBIACEAE,"Borreria amapaensis","2.1 Dry Savanna"
RUBIACEAE,"Borreria burchellii","2.1 Dry Savanna"
RUBIACEAE,"Borreria gracillima","2.1 Dry Savanna"
RUBIACEAE,"Borreria gracillima","2.2 Moist Savana"
RUBIACEAE,"Borreria guimaraesensis","2.1 Dry Savanna"
RUBIACEAE,"Borreria irwiniana","2.1 Dry Savanna"
RUBIACEAE,"Borreria paulista","2.1 Dry Savanna"
RUBIACEAE,"Borreria rosmarinifolia","2.1 Dry Savanna"
RUBIACEAE,"Borreria tocantinsiana","2.1 Dry Savanna"
VERBENACEAE,"Bouchea fluminensis","2.1 Dry Savanna"
SOLANACEAE,"Brunfelsia rupestris","2.1 Dry Savanna"
SCROPHULARIACEAE,"Buddleja longiflora","1.9 Subtropical/Tropical Moist Montane Forest"
SCROPHULARIACEAE,"Buddleja speciosissima","1.6 Subtropical/Tropical Moist Lowland Forest"
CYPERACEAE,"Bulbostylis lombardii","2.1 Dry Savanna"
MALPIGHIACEAE,"Byrsonima cordifolia","2 Savanna"
MALPIGHIACEAE,"Byrsonima hatschbachii","2.2 Moist Savana"
ASTERACEAE,"Calea irwinii","2.1 Dry Savanna"
FABACEAE,"Calliandra gardneri","2 Savanna"
FABACEAE,"Calliandra gardneri","2.1 Dry Savanna"
FABACEAE,"Calliandra gardneri","2.2 Moist Savana"
FABACEAE,"Calliandra gardneri","1.5 Subtropical/Tropical Dry Forest"
FABACEAE,"Calliandra gardneri","4.5 Subtropical/Tropical Dry Lowland Grassland"
FABACEAE,"Calliandra imbricata","2 Savanna"
FABACEAE,"Calliandra imbricata","2.1 Dry Savanna"
FABACEAE,"Calliandra imbricata","2.2 Moist Savana"
FABACEAE,"Calliandra linearis","1.6 Subtropical/Tropical Moist Lowland Forest"
FABACEAE,"Calliandra linearis","2 Savanna"
FABACEAE,"Calliandra linearis","2.1 Dry Savanna"
FABACEAE,"Calliandra linearis","2.2 Moist Savana"
FABACEAE,"Calliandra santosiana","2 Savanna"
FABACEAE,"Calliandra santosiana","2.1 Dry Savanna"
FABACEAE,"Calliandra santosiana","2.2 Moist Savana"
FABACEAE,"Calliandra semisepulta","2 Savanna"
FABACEAE,"Calliandra semisepulta","2.1 Dry Savanna"
FABACEAE,"Calliandra semisepulta","2.2 Moist Savana"
VOCHYSIACEAE,"Callisthene erythroclada","2.1 Dry Savanna"
MYRTACEAE,"Calycolpus australis","2.1 Dry Savanna"
MELASTOMATACEAE,"Cambessedesia cambessedesioides","2 Savanna"
MELASTOMATACEAE,"Cambessedesia pityrophylla","2.1 Dry Savanna"
MELASTOMATACEAE,"Cambessedesia salviifolia","2.1 Dry Savanna"
MELASTOMATACEAE,"Cambessedesia semidecandra","2.1 Dry Savanna"
CUCURBITACEAE,"Cayaponia rugosa","2.1 Dry Savanna"
MELASTOMATACEAE,"Chaetostoma flavum","2.1 Dry Savanna"
MELASTOMATACEAE,"Chaetostoma inerme","2.1 Dry Savanna"
MELASTOMATACEAE,"Chaetostoma scoparium","2.1 Dry Savanna"
MELASTOMATACEAE,"Chaetostoma selagineum","2.1 Dry Savanna"
MELASTOMATACEAE,"Chaetostoma stenocladon","2.1 Dry Savanna"
FABACEAE,"Chamaecrista adamantina","2 Savanna"
FABACEAE,"Chamaecrista adamantina","2.1 Dry Savanna"
FABACEAE,"Chamaecrista adamantina","2.2 Moist Savana"
FABACEAE,"Chamaecrista altoana","2 Savanna"
FABACEAE,"Chamaecrista altoana","2.1 Dry Savanna"
FABACEAE,"Chamaecrista altoana","2.2 Moist Savana"
FABACEAE,"Chamaecrista caiapo","2 Savanna"
FABACEAE,"Chamaecrista caiapo","2.1 Dry Savanna"
FABACEAE,"Chamaecrista caiapo","2.2 Moist Savana"
FABACEAE,"Chamaecrista caracensis","2 Savanna"
FABACEAE,"Chamaecrista caracensis","2.1 Dry Savanna"
FABACEAE,"Chamaecrista caracensis","2.2 Moist Savana"
FABACEAE,"Chamaecrista catapodia","2 Savanna"
FABACEAE,"Chamaecrista catapodia","2.1 Dry Savanna"
FABACEAE,"Chamaecrista catapodia","2.2 Moist Savana"
FABACEAE,"Chamaecrista catiarae","2 Savanna"
FABACEAE,"Chamaecrista catiarae","2.1 Dry Savanna"
FABACEAE,"Chamaecrista catiarae","2.2 Moist Savana"
FABACEAE,"Chamaecrista centiflora","2 Savanna"
FABACEAE,"Chamaecrista centiflora","2.1 Dry Savanna"
FABACEAE,"Chamaecrista centiflora","2.2 Moist Savana"
FABACEAE,"Chamaecrista coradinii","2 Savanna"
FABACEAE,"Chamaecrista coradinii","2.1 Dry Savanna"
FABACEAE,"Chamaecrista coradinii","2.2 Moist Savana"
FABACEAE,"Chamaecrista coriacea","2 Savanna"
FABACEAE,"Chamaecrista coriacea","2.1 Dry Savanna"
FABACEAE,"Chamaecrista coriacea","2.2 Moist Savana"
FABACEAE,"Chamaecrista deltoidea","2 Savanna"
FABACEAE,"Chamaecrista deltoidea","2.1 Dry Savanna"
FABACEAE,"Chamaecrista deltoidea","2.2 Moist Savana"
FABACEAE,"Chamaecrista dumalis","2 Savanna"
FABACEAE,"Chamaecrista dumalis","2.1 Dry Savanna"
FABACEAE,"Chamaecrista dumalis","2.2 Moist Savana"
FABACEAE,"Chamaecrista ericifolia","2 Savanna"
FABACEAE,"Chamaecrista ericifolia","2.1 Dry Savanna"
FABACEAE,"Chamaecrista ericifolia","2.2 Moist Savana"
FABACEAE,"Chamaecrista fuscescens","2 Savanna"
FABACEAE,"Chamaecrista geraldii","2 Savanna"
FABACEAE,"Chamaecrista gumminans","2 Savanna"
FABACEAE,"Chamaecrista gumminans","2.1 Dry Savanna"
FABACEAE,"Chamaecrista gumminans","2.2 Moist Savana"
FABACEAE,"Chamaecrista gymnothyrsa","2 Savanna"
FABACEAE,"Chamaecrista gymnothyrsa","2.1 Dry Savanna"
FABACEAE,"Chamaecrista gymnothyrsa","2.2 Moist Savana"
FABACEAE,"Chamaecrista hatschbachii","2 Savanna"
FABACEAE,"Chamaecrista hatschbachii","2.1 Dry Savanna"
FABACEAE,"Chamaecrista itabiritoana","2 Savanna"
FABACEAE,"Chamaecrista itabiritoana","2.1 Dry Savanna"
FABACEAE,"Chamaecrista ixodes","2 Savanna"
