family,acceptedNameUsage,valid,invalid,not_validated,sig_ok,sig_nok,no_sig,used,unused,total
OCHNACEAE,"Sauvagesia lanceolata Sastre",8,0,0,8,0,0,8,0,8
APOCYNACEAE,"Rauvolfia ligustrina Willd.",0,0,165,142,23,0,0,165,165
FABACEAE,"Chamaecrista itabiritoana (H.S.Irwin & Barneby) H.S.Irwin & Barneby",4,0,3,6,1,0,4,3,7
PASSIFLORACEAE,"Passiflora hypoglauca Harms",10,3,0,12,1,0,9,4,13
CYPERACEAE,"Rhynchospora tenuis Link",0,0,839,798,41,0,0,839,839
ACANTHACEAE,"Staurogyne minarum (Nees) Kuntze",0,6,26,28,4,0,0,32,32
RUBIACEAE,"Borreria burchellii E.L.Cabral & Bacigalupo",2,0,0,2,0,0,2,0,2
FABACEAE,"Chamaecrista fuscescens (Benth.) H.S.Irwin & Barneby",1,0,1,1,1,0,1,1,2
VELLOZIACEAE,"Vellozia torquata L.B.Sm. & Ayensu",0,4,1,5,0,0,0,5,5
LYTHRACEAE,"Cuphea cunninghamiifolia T.B.Cavalc.",5,0,0,5,0,0,5,0,5
MELASTOMATACEAE,"Microlicia scoparia (A.St.-Hil.) DC.",41,41,5,85,2,0,41,46,87
ACANTHACEAE,"Poikilacanthus bahiensis (Nees) Wassh.",0,2,103,101,4,0,0,105,105
LORANTHACEAE,"Psittacanthus acinarius (Mart.) Mart.",3,8,160,143,28,0,2,169,171
TURNERACEAE,"Turnera coccinea Arbo",0,1,3,4,0,0,0,4,4
FABACEAE,"Bauhinia leptantha Malme",0,1,41,41,1,0,0,42,42
MELASTOMATACEAE,"Microlicia trichocalycina DC.",1,0,3,2,2,0,1,3,4
MELASTOMATACEAE,"Trembleya rosmarinoides DC.",6,1,2,8,1,0,6,3,9
MELASTOMATACEAE,"Microlicia vernicosa (Barreto ex Pedersoli) A.B.Martins & Almeda",4,0,1,5,0,0,4,1,5
FABACEAE,"Mimosa setosissima Taub.",1,1,64,60,6,0,1,65,66
Melastomataceae,"Cambessedesia cambessedesioides (Wurdack) A.B.Martins",33,28,3,61,3,0,33,31,64
VOCHYSIACEAE,"Callisthene erythroclada Warm.",27,5,6,34,4,0,27,11,38
MELASTOMATACEAE,"Pterolepis rotundifolia Wurdack",12,2,1,15,0,0,12,3,15
OCHNACEAE,"Sauvagesia ribeiroi Harley & Giul.",6,1,0,7,0,0,6,1,7
MELASTOMATACEAE,"Microlicia suborbicularifolia Hoehne",13,7,3,23,0,0,13,10,23
SANTALACEAE,"Phoradendron anamariae Rizzini",0,0,3,3,0,0,0,3,3
CONVOLVULACEAE,"Evolvulus gnaphalioides Moric.",31,1,1,32,1,0,31,2,33
FABACEAE,"Bauhinia malacotrichoides R.S.Cowan",0,0,12,12,0,0,0,12,12
APODANTHACEAE,"Apodanthes minarum Vattimo",4,0,0,4,0,0,4,0,4
FABACEAE,"Chamaecrista ochrosperma (H.S.Irwin & Barneby) H.S.Irwin & Barneby",0,0,8,6,2,0,0,8,8
FABACEAE,"Desmodium glabrescens Malme",0,0,5,5,0,0,0,5,5
POACEAE,"Axonopus aureus P.Beauv.",6,3,465,432,42,0,6,468,474
FABACEAE,"Chamaecrista ixodes (H.S.Irwin & Barneby) H.S.Irwin & Barneby",1,0,2,3,0,0,1,2,3
FABACEAE,"Chamaecrista gumminans H.S.Irwin & Barneby",2,2,0,4,0,0,2,2,4
FABACEAE,"Calliandra semisepulta Barneby",0,0,7,7,0,0,0,7,7
FABACEAE,"Chamaecrista macedoi (H.S.Irwin & Barneby) H.S.Irwin & Barneby",0,0,4,4,0,0,0,4,4
VERBENACEAE,"Stachytarpheta ajugifolia Schauer",9,0,0,9,0,0,9,0,9
