family,scientificName,document,field,reference
CUCURBITACEAE,"Cayaponia rugosa",assessment,,"Klein, V.L.G. & Lima, L.F.P.; Costa, G.A.G. 2013. Cucurbitaceae In: Forzza, R.C. et al. (Orgs.) Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB4262>. Acesso em 12 de novembro  2013."
CUCURBITACEAE,"Cayaponia rugosa",assessment,,"Klein, V.L.G. &  Santana, J.R.O. 2009. Cucurbitaceae. In: Giulietti, A.M.; Rapini, A.; Andrade, M.J.G.; Queiroz, L.P. & Silva, J.M.C.D.Plantas Raras do Brasil. Belo Horizonte: Conservação Internacional; Universidade Estadual de Feira de Santana, 496p."
CUCURBITACEAE,"Cayaponia rugosa",assessment,,"Souza, C. D. & Felfili, J. M. 2006. Uso de plantas medicinais na região de Alto Paraíso de Goiás, GO, Brasil. Acta Botanica Brasilica, 20 (1): 135-142."
BIGNONIACEAE,"Adenocalymma subspicatum",assessment,,"CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em <www.cncflora.jbrj.gov.,br>. Acesso em 21 agosto 2013.   "
BIGNONIACEAE,"Adenocalymma subspicatum",assessment,,"Lohmann, L.G. 2013. Bignoniaceae In: Forzza, R.C. et al. (Orgs.) Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB4262>. Acesso em 19 agosto 2013."
BIGNONIACEAE,"Adenocalymma subspicatum",assessment,,"Lohmann, L.G.; Silva-Castro, M.M. 2009. Bignoniaceae. In: Giulietti, A.M.; Rapini, A.; Andrade, M.J.G.; Queiroz, L.P. & Silva, J.M.C.D.Plantas Raras do Brasil. Belo Horizonte: Conservação Internacional; Universidade Estadual de Feira de Santana, 496p."
BIGNONIACEAE,"Adenocalymma subspicatum",assessment,,"IBGE. 2013. Instituto Brasileiro de Geografia e Estatística. Cidades@. Disponível em: < http://www.cidades.ibge.gov.br/>. Acesso em 19 agosto 2013."
CHRYSOBALANACEAE,"Hirtella juruensis",assessment,,"Araújo, R. A. 2008. Florística e Estrutura da Comunidade Arbórea em Fragmento Florestal Urbano no Município de Sinop, Mato Grosso. Dissertação de Mestrado. Universidade Federal do Mato Grosso, Cuiabá. 131p. "
CHRYSOBALANACEAE,"Hirtella juruensis",assessment,,"Silveira, E. P. 2010. Florística e Estrutura da Vegetação de Cerrado Sensu Stricto em Terra Indígena no Noroeste do Estado de Mato Grosso. Dissertação de Mestrado. Universidade Federal do Mato Grosso, Cuiabá. 62p. "
CHRYSOBALANACEAE,"Hirtella juruensis",assessment,,"Giulietti, A.M. & Conceição, A.S.; Andrade, M.J.G.; Rodrigues, W.A.. Chrysobalanaceae. 2009. In: Giulietti, A.M.; Rapini, A.; Andrade, M.J.G.; Queiroz, L.P.; Silva, J.M.C. Plantas Raras do Brasil. Belo Horizonte: Conservaçao Internacional; Univesidade Estadual de Feira de Santana,496p."
CHRYSOBALANACEAE,"Hirtella juruensis",assessment,,"IBGE - Instituto Brasileiro de Geografia e Estatística. 2013. Cidades@ - Juruena. Disponível em: <http://cidades.ibge.gov.br/xtras/perfil.php?lang=&codmun=510517&search=mato-grosso|juruena>. Acesso em 22 outubro 2013."
CHRYSOBALANACEAE,"Hirtella juruensis",assessment,,"Prance, G.T.; Sothers, C. 2013. Hirtella In Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB16788>."
SOLANACEAE,"Solanum eitenii",assessment,,"Agra, M.F. & Stehmann, J.R. 2009. Solanaceae. In: Giulietti, A.M.; Rapini, A.; Andrade, M.J.G.; Queiroz, L.P. & Silva, J.M.C.D.Plantas Raras do Brasil. Belo Horizonte: Conservação Internacional; Universidade Estadual de Feira de Santana, 496p."
SOLANACEAE,"Solanum eitenii",assessment,,"CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em <www.cncflora.jbrj.gov.,br>. Acesso em 21 agosto 2013.   "
SOLANACEAE,"Solanum eitenii",assessment,,"Souza, R.F.; Khan, A.S. 2001. A modernização da agricultura, classificação dos municípios e concentração da terra no Estado do Maranhão. Revista Econômica do Nordeste, 32 (1): 96-111."
SOLANACEAE,"Solanum eitenii",assessment,,"Stehmann, J.R.; Mentz, L.A.; Agra, M.F.; Vignoli-Silva, M.; Giacomin, L. 2013. Solanaceae In: Forzza, R.C. et al. (Orgs.) Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB4262>. Acesso em 21 agosto 2013."
BROMELIACEAE,"Alcantarea burle-marxii",assessment,,"FORZZA, R.C.; COSTA, A.; SIQUEIRA FILHO, J.A.; MARTINELLI, G.; MONTEIRO, R.F.; SANTOS-SILVA, F.; SARAIVA, D. P.; PAIXÃO-SOUZA, B.; LOUZADA, R.B.; VERSIEUX, L. 2013. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://reflora.jbrj.gov.br/jabot/floradobrasil/FB5891)"
BROMELIACEAE,"Alcantarea burle-marxii",assessment,,"WANDERLEY, M.G.L.; LOUZADA, R.B.; SOUSA, G.M.; LIMA, T.T.; VERSIEUX, L.M. Bromeliaceae In: GIULIETTI, A. M.; RAPINI, A.; ANDRADE, M. J. G.; QUEIROZ, L. P. DE; SILVA, J. M. C. D. (Eds.). Plantas Raras do Brasil. Belo Horizonte: Conservaçao Internacional; Univesidade Estadual de Feira de Santana, 2009. p. 496."
BROMELIACEAE,"Alcantarea hatschbachii",assessment,,"FORZZA, R.C.; COSTA, A.; SIQUEIRA FILHO, J.A.; MARTINELLI, G.; MONTEIRO, R.F.; SANTOS-SILVA, F.; SARAIVA, D. P.; PAIXÃO-SOUZA, B.; LOUZADA, R.B.; VERSIEUX, L. 2013. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://reflora.jbrj.gov.br/jabot/floradobrasil/FB5891)"
BROMELIACEAE,"Alcantarea hatschbachii",assessment,,"WANDERLEY, M.G.L.; LOUZADA, R.B.; SOUSA, G.M.; LIMA, T.T.; VERSIEUX, L.M. Bromeliaceae In: GIULIETTI, A. M.; RAPINI, A.; ANDRADE, M. J. G.; QUEIROZ, L. P. DE; SILVA, J. M. C. D. (Eds.). Plantas Raras do Brasil. Belo Horizonte: Conservaçao Internacional; Univesidade Estadual de Feira de Santana, 2009. p. 496."
BROMELIACEAE,"Alcantarea hatschbachii",assessment,,"COFFAINI-NUNES, J.V.; VERSIEUX, L.M.; WANDERLEY, M.G.L.; PIRANI, J.R. Flora da Serra do Cipó, MInas Gerais: Bromeliaceae - Tillandsiodeae. Bol. Bot. Univ. São Paulo, v. 28, n. 1, p. 35-54, 2010."
BROMELIACEAE,"Cryptanthus leopoldo-horstii",assessment,,"FORZZA, R.C.; COSTA, A.; SIQUEIRA FILHO, J.A.; MARTINELLI, G.; MONTEIRO, R.F.; SANTOS-SILVA, F.; SARAIVA, D. P.; PAIXÃO-SOUZA, B.; LOUZADA, R.B.; VERSIEUX, L. 2013. Bromeliaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://reflora.jbrj.gov.br/jabot/floradobrasil/FB5891)."
