occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
53ceafe810c43,Ochnaceae,"Sauvagesia lanceolata Sastre",-14.172752,-47.817278,"google earth",ok,Thiago,04/02/14,"5 a 10Km",,"Sauvagesia lanceolata Sastre",true,,,,,,,
53ceafe810d1c,Apocynaceae,"Rauvolfia ligustrina Willd.",0,0,,2,Marcelo,04/10/13,,,"Rauvolfia ligustrina Willd.",false,,,,,,,
53ceafe810dc6,Fabaceae,"Chamaecrista itabiritoana (H.S.Irwin & Barneby) H.S.Irwin & Barneby",0,0,,2,Marcelo,04/10/13,,,"Chamaecrista itabiritoana (H.S.Irwin & Barneby) H.S.Irwin & Barneby",false,,,,,,,
53ceafe810e6d,Passifloraceae,"Passiflora hypoglauca Harms",-13.073333,-41.379444,,ok,Thiago,21/11/13,,,"Passiflora hypoglauca Harms",false,,,,,,,
53ceafe810f14,Cyperaceae,"Rhynchospora tenuis Link",-8.677286,-35.225364,SIG,ok,Marcelo,23/09/13,"Centroide de Municipio",,"Rhynchospora tenuis Link",false,,,,,,,
53ceafe810fba,Acanthaceae,"Staurogyne minarum (Nees) Kuntze",-11.410778,-55.324778,Coletor,ok,Marcelo,23/09/13,"5 a 10Km",,"Staurogyne minarum (Nees) Kuntze",false,,,,,,,
53ceafe81105d,Passifloraceae,"Passiflora hypoglauca Harms",-13.282222,-41.332778,,ok,Thiago,21/11/13,,,"Passiflora hypoglauca Harms",false,,,,,,,
53ceafe811100,Rubiaceae,"Borreria burchellii E.L.Cabral & Bacigalupo",-13.588201,-46.447148,SIG,ok,Thiago,23/09/13,"Centroide de Municipio",,"Borreria burchellii E.L.Cabral & Bacigalupo",true,valid,no,no,native,valid,"Daniela Zappi ; ",
53ceafe8111a5,FABACEAE,"Chamaecrista fuscescens (Benth.) H.S.Irwin & Barneby",-19.25,-43.383333,,ok,Marcelo,26/09/13,,,"Chamaecrista fuscescens (Benth.) H.S.Irwin & Barneby",true,,,,,,,
53ceafe81124e,Velloziaceae,"Vellozia torquata L.B.Sm. & Ayensu",-18,-44,Coletor,ok,Marcelo,23/09/13,"5 a 10Km",,"Vellozia torquata L.B.Sm. & Ayensu",false,,,yes,,,"Gustavo Martinelli ; ",
53ceafe8112f3,LYTHRACEAE,"Cuphea cunninghamiifolia T.B.Cavalc.",-14.1325,-47.51,,ok,Thiago,17/04/14,,,"Cuphea cunninghamiifolia T.B.Cavalc.",true,,,,,,,
53ceafe811397,MELASTOMATACEAE,"Microlicia scoparia (A.St.-Hil.) DC.",-18.291278,-43.799558,"Google Earth",ok,Thiago,18/02/14,"10 a 50Km",,"Microlicia scoparia (A.St.-Hil.) DC.",false,,,,,,,
53ceafe81143d,Acanthaceae,"Poikilacanthus bahiensis (Nees) Wassh.",-14.5297,-40.3653,,ok,Thiago,17/04/14,,,"Poikilacanthus bahiensis (Nees) Wassh.",false,,,,,,,
53ceafe8114e2,Loranthaceae,"Psittacanthus acinarius (Mart.) Mart.",0,0,,2,Marcelo,04/10/13,,,"Psittacanthus acinarius (Mart.) Mart.",false,,,,,,,
