family,scientificNameWithoutAuthorship,scientificNameAuthorship
Verbenaceae,"Lippia diamantinensis",Glaziou
Melastomataceae,"Cambessedesia cambessedesioides","(Wurdack) A.B.Martins"
Verbenaceae,"Lantana gracilis",T.Silva
Fabaceae,"Chamaecrista gymnothyrsa","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
Eriocaulaceae,"Actinocephalus nodifer","(Silveira) Sano"
Eriocaulaceae,"Actinocephalus robustus","(Silveira) Sano"
Eriocaulaceae,"Actinocephalus stereophyllus","(Ruhland) Sano"
Lythraceae,"Diplusodon leucocalycinus",Lourteig
Lythraceae,"Diplusodon nigricans",Koehne
Melastomataceae,"Chaetostoma scoparium",Cogn.
Verbenaceae,"Lippia rubella","(Moldenke) T.R.S.Silva & Salimena"
Araliaceae,"Schefflera lucumoides","(Decne. & Planch. ex Marchal) Frodin & Fiaschi"
ERIOCAULACEAE,"Comanthera pignalii",Echtern.
Fabaceae,"Albizia robsonii","V. Maioli e H.C. de Lima"
RUBIACEAE,"Bradea borrerioides","J.A.Oliveira & Sobrado"
ERIOCAULACEAE,"Syngonanthus incurvifolius",M.T.C.Watan.
ERIOCAULACEAE,"Syngonanthus vittatus",M.T.C.Watan
ACANTHACEAE,"Justicia clivalis",Wassh.
ACANTHACEAE,"Poikilacanthus bahiensis","(Nees) Wassh."
ACANTHACEAE,"Staurogyne minarum","(Nees) Kuntze"
ACANTHACEAE,"Stenandrium goiasense",Wassh.
ACANTHACEAE,"Stenandrium irwinii",Wassh.
ALISMATACEAE,"Echinodorus lanceolatus",Rataj
ALSTROEMERIACEAE,"Alstroemeria chapadensis",Hoehne
AMARANTHACEAE,"Gomphrena hermogenesii",J.C.Siqueira
AMARANTHACEAE,"Gomphrena hillii",Suess.
AMARANTHACEAE,"Gomphrena marginata",Seub.
ANNONACEAE,"Duguetia rotundifolia",R.E.Fr.
APOCYNACEAE,"Barjonia grazielae","Fontella & Marquete"
APOCYNACEAE,"Blepharodon hatschbachii","Fontella & Marquete"
APOCYNACEAE,"Ditassa emmerichii",Fontella
