family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
Verbenaceae,"Lippia diamantinensis",Glaziou,done,comments,LC,
Melastomataceae,"Cambessedesia cambessedesioides","(Wurdack) A.B.Martins",done,comments,VU,"B1ab(i,ii,iii,iv,v)"
Verbenaceae,"Lantana gracilis",T.Silva,done,comments,LC,
Fabaceae,"Chamaecrista gymnothyrsa","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
Eriocaulaceae,"Actinocephalus nodifer","(Silveira) Sano",done,comments,DD,
Eriocaulaceae,"Actinocephalus robustus","(Silveira) Sano",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
Eriocaulaceae,"Actinocephalus stereophyllus","(Ruhland) Sano",done,comments,EN,"B1ab(iii)+2ab(ii,iii,iv)"
Lythraceae,"Diplusodon leucocalycinus",Lourteig,done,comments,VU,"B1ab(i,ii,iii)"
Lythraceae,"Diplusodon nigricans",Koehne,done,comments,DD,
Melastomataceae,"Chaetostoma scoparium",Cogn.,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
Verbenaceae,"Lippia rubella","(Moldenke) T.R.S.Silva & Salimena",done,comments,EN,"B2ab(i,ii,iii)"
Araliaceae,"Schefflera lucumoides","(Decne. & Planch. ex Marchal) Frodin & Fiaschi",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ERIOCAULACEAE,"Comanthera pignalii",Echtern.,done,comments,CR,"B2ab(i,ii,iii,iv)"
Fabaceae,"Albizia robsonii","V. Maioli e H.C. de Lima",done,open,EN,"B2ab(i,ii,iii,iv,v);E"
ERIOCAULACEAE,"Syngonanthus incurvifolius",M.T.C.Watan.,done,comments,CR,"A2ac;B2ab(i,ii,iii)"
ERIOCAULACEAE,"Syngonanthus vittatus",M.T.C.Watan,done,comments,EN,"B2ab(i,ii,iii)"
ACANTHACEAE,"Justicia clivalis",Wassh.,done,comments,NT,
ACANTHACEAE,"Poikilacanthus bahiensis","(Nees) Wassh.",done,comments,NT,
ACANTHACEAE,"Staurogyne minarum","(Nees) Kuntze",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ACANTHACEAE,"Stenandrium goiasense",Wassh.,done,comments,DD,
ACANTHACEAE,"Stenandrium irwinii",Wassh.,done,comments,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
ALISMATACEAE,"Echinodorus lanceolatus",Rataj,done,comments,LC,
ALSTROEMERIACEAE,"Alstroemeria chapadensis",Hoehne,done,comments,EN,"B1ab(i,ii,iii)"
AMARANTHACEAE,"Gomphrena hermogenesii",J.C.Siqueira,done,comments,VU,B1ab(iii);D2
AMARANTHACEAE,"Gomphrena hillii",Suess.,done,comments,EN,"B2ab(i,ii,iii,iv)"
AMARANTHACEAE,"Gomphrena marginata",Seub.,done,comments,EN,"B1ab(i,iii,iv)+2ab(ii,iii,iv)"
ANNONACEAE,"Duguetia rotundifolia",R.E.Fr.,done,comments,DD,
APOCYNACEAE,"Barjonia grazielae","Fontella & Marquete",done,comments,EN,"B1ab(i,ii,iii)"
APOCYNACEAE,"Blepharodon hatschbachii","Fontella & Marquete",done,comments,EN,"B1ab(i,ii,iii)"
APOCYNACEAE,"Ditassa emmerichii",Fontella,done,comments,DD,
APOCYNACEAE,"Ditassa insignis",Farinaccio,done,comments,EN,"B1ab(i,ii,iii)"
APOCYNACEAE,"Ditassa obscura","(E.Fourn.) Farinaccio & T.U.P.Konno",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
APOCYNACEAE,"Mandevilla rubra","Markgr. ex M.F.Sales et al.",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
APOCYNACEAE,"Mandevilla semirii","M.F.Sales et al.",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
APOCYNACEAE,"Marsdenia neomanarae",Morillo,done,comments,EN,"B1ab(i,ii,iii)"
APOCYNACEAE,"Marsdenia sessilifolia","(E.Fourn.) Fontella",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
APOCYNACEAE,"Marsdenia virgultorum","(E.Fourn.) Malme",done,comments,DD,
APOCYNACEAE,"Matelea matogrossensis",Fontella,done,comments,DD,
APOCYNACEAE,"Matelea refracta","(E.Fourn.) Morillo",done,comments,DD,
APOCYNACEAE,"Minaria campanuliflora",Rapini,done,comments,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
APOCYNACEAE,"Nephradenia filipes",Malme,done,comments,CR,"B2ab(i,ii,iii)"
APOCYNACEAE,"Oxypetalum habrogynum",Farinaccio,done,comments,CR,"B2ab(i,ii,iii)"
APOCYNACEAE,"Oxypetalum helios",Farinaccio,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
APOCYNACEAE,"Oxypetalum pardense",E.Fourn.,done,comments,DD,
APOCYNACEAE,"Rauvolfia ligustrina",Willd.,done,comments,LC,
APOCYNACEAE,"Tassadia geniculata",Fontella,done,comments,EN,"B1ab(i,ii,iii)"
APOCYNACEAE,"Tassadia rizzoana",Fontella,done,comments,CR,"B2ab(i,ii,iii)"
