family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
Verbenaceae,"Lippia diamantinensis",Glaziou,"Lippia diamantinensis Glaziou"
Verbenaceae,"Lippia lasiocalycina",Cham.,"Lippia lasiocalycina Cham."
Melastomataceae,"Cambessedesia cambessedesioides","(Wurdack) A.B.Martins","Cambessedesia cambessedesioides (Wurdack) A.B.Martins"
Verbenaceae,"Lantana gracilis",T.Silva,"Lantana gracilis T.Silva"
Fabaceae,"Chamaecrista gymnothyrsa","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista gymnothyrsa (H.S.Irwin & Barneby) H.S.Irwin & Barneby"
Eriocaulaceae,"Actinocephalus nodifer","(Silveira) Sano","Actinocephalus nodifer (Silveira) Sano"
Eriocaulaceae,"Actinocephalus robustus","(Silveira) Sano","Actinocephalus robustus (Silveira) Sano"
Eriocaulaceae,"Actinocephalus stereophyllus","(Ruhland) Sano","Actinocephalus stereophyllus (Ruhland) Sano"
Lythraceae,"Diplusodon leucocalycinus",Lourteig,"Diplusodon leucocalycinus Lourteig"
Lythraceae,"Diplusodon nigricans",Koehne,"Diplusodon nigricans Koehne"
Melastomataceae,"Chaetostoma scoparium",Cogn.,"Chaetostoma scoparium Cogn."
Verbenaceae,"Lippia rubella","(Moldenke) T.R.S.Silva & Salimena","Lippia rubella (Moldenke) T.R.S.Silva & Salimena"
Araliaceae,"Schefflera lucumoides","(Decne. & Planch. ex Marchal) Frodin & Fiaschi","Schefflera lucumoides (Decne. & Planch. ex Marchal) Frodin & Fiaschi"
ERIOCAULACEAE,"Comanthera pignalii",Echtern.,"Comanthera pignalii"
Fabaceae,"Albizia robsonii","V. Maioli e H.C. de Lima","Albizia robsonii V. Maioli e H.C. de Lima"
RUBIACEAE,"Bradea borrerioides","J.A.Oliveira & Sobrado","Bradea borrerioides J.A.Oliveira & Sobrado"
ERIOCAULACEAE,"Syngonanthus incurvifolius",M.T.C.Watan.,"Syngonanthus incurvifolius M.T.C.Watan."
ERIOCAULACEAE,"Syngonanthus vittatus",M.T.C.Watan,"Syngonanthus vittatus M.T.C.Watan"
ACANTHACEAE,"Justicia clivalis",Wassh.,"Justicia clivalis"
