family,scientificName,threat,incidence,timing,decline
ERIOCAULACEAE,"Comanthera pignalii","3.2 Mining & quarrying",local,present,locality;habitat;occupancy;occurrence
ERIOCAULACEAE,"Comanthera pignalii","1.1 Housing & urban areas",local,present,locality;habitat;occupancy;occurrence
Fabaceae,"Albizia robsonii","2.2.2 Agro-industry plantations",local,present,habitat
Fabaceae,"Albizia robsonii","1.1 Housing & urban areas",national,present,habitat
RUBIACEAE,"Bradea borrerioides","1.3 Tourism & recreation areas",local,past;present;future,"habitat;mature individuals"
RUBIACEAE,"Bradea borrerioides","2 Agriculture & aquaculture",regional,past;present;future,occupancy;occurrence;habitat
RUBIACEAE,"Bradea borrerioides","3.2 Mining & quarrying",local,past;present;future,occupancy;occurrence
RUBIACEAE,"Bradea borrerioides","8.1.1 Unspecified species",local,past;present;future,"habitat;mature individuals"
RUBIACEAE,"Bradea borrerioides","1.1 Housing & urban areas",local,past;future,occupancy;occurrence
BROMELIACEAE,"Encholirum splendidum","7 Natural system modifications",local,past;present;future,"habitat;occupancy;mature individuals"
BROMELIACEAE,"Encholirum splendidum","3.2 Mining & quarrying",local,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Encholirum splendidum","8.1.1 Unspecified species",,,
BROMELIACEAE,"Encholirium splendidum","7 Natural system modifications",local,past;present;future,habitat;occupancy;occurrence
BROMELIACEAE,"Encholirium splendidum","3.2 Mining & quarrying",local,past;present;future,"locality;habitat;occupancy;occurrence;mature individuals"
BROMELIACEAE,"Encholirium splendidum","8.1.1 Unspecified species",local,past;present;future,occupancy;occurrence;habitat
ERIOCAULACEAE,"Syngonanthus incurvifolius","1.1 Housing & urban areas",local,future,habitat
ERIOCAULACEAE,"Syngonanthus incurvifolius","4.1 Roads & railroads",local,present,habitat
ERIOCAULACEAE,"Syngonanthus incurvifolius","7.1.1 Increase in fire frequency/intensity",local,present;future,"habitat;occupancy;mature individuals"
ERIOCAULACEAE,"Syngonanthus vittatus","1.3 Tourism & recreation areas",local,present,habitat
ERIOCAULACEAE,"Syngonanthus vittatus","2.3.2 Small-holder grazing, ranching or farming",local,present,habitat
