family,scientificName,use,resource,details,references
Fabaceae,"Albizia robsonii","7. Fuel",stalk,"De acordo com entrevistas realizadas com os quilombolas da Fazenda Machadinha que vivem e utilizam a vegetação do entorno, o caule de Albizia robsonii é utilizado como lenha (Maioli-Azevedo & Senna-Valle 2011).","Maioli-Azevedo,V. & Senna-Valle, L. 2011. Quilombolas da Fazenda Machadinha: tradição e uso dos recursos vegetais. In: Peixoto & Silva (org.) Saberes e usos de plantas: legados de atividades humanas no Rio de Janeiro. Ed. PUC-Rio. 228p."
Fabaceae,"Albizia robsonii","9. Construction/structural materials",stalk,"De acordo com entrevistas realizadas com os quilombolas da Fazenda Machadinha que vivem e utilizam a vegetação do entorno, o caule de Albizia robsonii é utilizado para construção (Maioli-Azevedo & Senna-Valle 2011).","Maioli-Azevedo,V. & Senna-Valle, L. 2011. Quilombolas da Fazenda Machadinha: tradição e uso dos recursos vegetais. In: Peixoto & Silva (org.) Saberes e usos de plantas: legados de atividades humanas no Rio de Janeiro. Ed. PUC-Rio. 228p."
ALSTROEMERIACEAE,"Alstroemeria chapadensis","17. Unknown",,"Não foram encontrados registros de uso para a espécie.",
CUCURBITACEAE,"Apodanthera villosa","3. Medicine - human and veterinary",root,"O raíz de A. villosa é utilizada como antiofídico; apresenta a capacidade de inibir a letalidade do veneno de B. jararaca (Vilar, 2004; Lima, 2013).","JEANE CARVALHO VILAR. Ofidismo em Sergipe: epidemiologia e plantas da caatinga utilizadas popularmente como antiofídicas. Universidade Federal de Sergipe, 2004.;JORDANA REZENDE SOUZA LIMA. Etnobotânica no Cerrado: um estudo no assentamento Santa Rita, Jataí (GO). Universidade Federal de Goiás, 2013."
APODANTHACEAE,"Apodanthes minarum","17. Unknown",,,
ARECACEAE,"Attalea pindobassu","1. Food - human",seed,"O óleo da amêndoa (semente) é comestível, sendo utilizado também na produção de margarina (Albiero et al., 2007).","ALBIERO, D.; MACIEL, A.J.S.; LOPES, A.C.; MELLO, C.A.; GAMERO, C.A. Proposta de uma máquina para colheita mecanizada de babaçu (Orbignya phalerata Mart.) para a agricultura familiar. Acta Amazonica, v. 37, n. 3, p. 337-346, 2007."
ARECACEAE,"Attalea pindobassu","2. Food - animal",seed,"O óleo da amêndoa (semente) é utilizado na produção de ração animal (Albiero et al., 2007).","ALBIERO, D.; MACIEL, A.J.S.; LOPES, A.C.; MELLO, C.A.; GAMERO, C.A. Proposta de uma máquina para colheita mecanizada de babaçu (Orbignya phalerata Mart.) para a agricultura familiar. Acta Amazonica, v. 37, n. 3, p. 337-346, 2007."
ARECACEAE,"Attalea pindobassu","7. Fuel",seed,"O óleo da amêndoa (semente) é utilizado na produção de biodiesel (Albiero et al., 2007).","ALBIERO, D.; MACIEL, A.J.S.; LOPES, A.C.; MELLO, C.A.; GAMERO, C.A. Proposta de uma máquina para colheita mecanizada de babaçu (Orbignya phalerata Mart.) para a agricultura familiar. Acta Amazonica, v. 37, n. 3, p. 337-346, 2007."
ARECACEAE,"Attalea pindobassu","5. Manufacturing chemicals",seed,"O óleo das amêndoas (sementes) é utilizado na fabricação de sabão e glicerina (Albiero et al., 2007).","ALBIERO, D.; MACIEL, A.J.S.; LOPES, A.C.; MELLO, C.A.; GAMERO, C.A. Proposta de uma máquina para colheita mecanizada de babaçu (Orbignya phalerata Mart.) para a agricultura familiar. Acta Amazonica, v. 37, n. 3, p. 337-346, 2007."
POACEAE,"Axonopus aureus","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A.aureus é conhecida como ornamental, “sempreviva” (Giulietti et al., 1996).","GIULIETTI, A. M.; WANDERLEY, M.G.L.; LONGHI-WAGNER, H.; PIRANI, J. R.; PARRA,L. Estudos em “sempre-vivas”: taxonomia com enfase nas espécies de Minas Gerais, Brasil. Acta Bot. Brasileira 10: 329-377. 1996."
