"family","scientificName","action","situation"
ACANTHACEAE,Aphelandra espirito-santensis,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra espirito-santensis,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra gigantea,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra gigantea,1.2.1.1 International level,on going,
ACANTHACEAE,Aphelandra gigantea,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra hirta,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra hirta,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra longiflora,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra longiflora,1.2.1.1 International level,on going,
ACANTHACEAE,Aphelandra longiflora,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra margaritae,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra margaritae,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra maximiliana,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra maximiliana,1.2.1.1 International level,on going,
ACANTHACEAE,Aphelandra maximiliana,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra nitida,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra nitida,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra prismatica,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra prismatica,1.2.2.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra schottiana,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra schottiana,1.2.2.1 International level,on going,
ACANTHACEAE,Aphelandra schottiana,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Aphelandra squarrosa,4.4 Protected areas,on going,
ACANTHACEAE,Aphelandra squarrosa,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Chamaeranthemum beyrichii,4.4 Protected areas,on going,
ACANTHACEAE,Chamaeranthemum beyrichii,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Dicliptera squarrosa,4.4 Protected areas,on going,
ACANTHACEAE,Dicliptera squarrosa,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Dyschoriste smithii,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Dyschoriste lavandulaceae,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Herpetacanthus longiflorus,4.4 Protected areas,on going,
ACANTHACEAE,Herpetacanthus longiflorus,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia brasiliana,4.4 Protected areas,,
ACANTHACEAE,Justicia brasiliana,1.2.1.3 Sub-national level,,
ACANTHACEAE,Justicia bullata,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia catharinensis,4.4 Protected areas,on going,
ACANTHACEAE,Justicia catharinensis,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia clausseniana,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia congrua,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia congrua,4.4 Protected areas,on going,
ACANTHACEAE,Justicia cydoniifolia,4.4 Protected areas,on going,
ACANTHACEAE,Justicia cydoniifolia,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia genuflexa,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia genuflexa,4.4 Protected areas,on going,
ACANTHACEAE,Justicia kleinii,4.4 Protected areas,on going,
ACANTHACEAE,Justicia kleinii,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia laevilinguis,4.4 Protected areas,on going,
ACANTHACEAE,Justicia laevilinguis,3 Research actions,needed,
ACANTHACEAE,Justicia laevilinguis,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia lythroides,4.4 Protected areas,on going,
ACANTHACEAE,Justicia lythroides,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia paranaensis,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia polita,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia polita,4.4 Protected areas,on going,
ACANTHACEAE,Justicia pseudoamazonica,4.4 Protected areas,,
ACANTHACEAE,Justicia pseudoamazonica,1.2.1.3 Sub-national level,,
ACANTHACEAE,Justicia ramulosa,1.2.1.3 Sub-national level,on going,
IRIDACEAE,Trimezia fistulosa,1.2.2.2 National level,on going,
ACANTHACEAE,Justicia scheidweileri,4.4 Protected areas,on going,
ACANTHACEAE,Justicia scheidweileri,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia symphyantha,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia symphyantha,4.4 Protected areas,on going,
ACANTHACEAE,Justicia tijucensis,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Justicia tijucensis,4.4 Protected areas,on going,
ACANTHACEAE,Justicia wasshauseniana,4.4 Protected areas,on going,
ACANTHACEAE,Justicia wasshauseniana,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Mendoncia mollis,4.4 Protected areas,on going,
ACANTHACEAE,Mendoncia mollis,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Odontonema dissitiflorum,4.4 Protected areas,on going,
ACANTHACEAE,Pseuderanthemum modestum,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Pseuderanthemum riedelianum,4.4 Protected areas,on going,
ACANTHACEAE,Pseuderanthemum riedelianum,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia affinis,4.4 Protected areas,on going,
ACANTHACEAE,Ruellia affinis,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia bulbifera,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia chamaedrys,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia curviflora,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia curviflora,4.4 Protected areas,on going,
ACANTHACEAE,Ruellia dissitifolia,4.4 Protected areas,on going,
ACANTHACEAE,Ruellia dissitifolia,1.1.2 Implementation,needed,
ACANTHACEAE,Ruellia dissitifolia,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia epallocaulos,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia erythropus,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia multifolia,4.4 Protected areas,on going,
ACANTHACEAE,Ruellia multifolia,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Ruellia solitaria,4.4 Protected areas,on going,
ACANTHACEAE,Ruellia solitaria,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Schaueria lophura,4.4 Protected areas,on going,
ACANTHACEAE,Schaueria lophura,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Schaueria virginea,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Staurogyne anigozanthus,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Staurogyne anigozanthus,4.4 Protected areas,on going,
ACANTHACEAE,Staurogyne brachiata,1.2.1.2 National level,on going,
ACANTHACEAE,Staurogyne carvalhoi,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Staurogyne elegans,1.2.1.2 National level,on going,
ACANTHACEAE,Staurogyne elegans,4.4 Protected areas,on going,
ACANTHACEAE,Staurogyne elegans,4.4.4 Expansion,needed,
ACANTHACEAE,Staurogyne itatiaiae,1.2.1.2 National level,on going,
ACANTHACEAE,Staurogyne itatiaiae,4.4 Protected areas,on going,
ACANTHACEAE,Staurogyne vauthieriana,1.2.1.2 National level,on going,
ACANTHACEAE,Staurogyne vauthieriana,4.4 Protected areas,on going,
ACANTHACEAE,Staurogyne veronicifolia,1.2.1.2 National level,on going,
ACANTHACEAE,Staurogyne warmingiana,1.2.1.2 National level,on going,
ACANTHACEAE,Stenandrium diphyllum,4.4 Protected areas,on going,
ACANTHACEAE,Stenandrium diphyllum,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Stenandrium hatschbachii,1.2.1.2 National level,on going,
ACANTHACEAE,Stenandrium stenophyllum,1.2.1.2 National level,on going,
ACANTHACEAE,Stenostephanus lobeliiformis,1.2.1.3 Sub-national level,on going,
ACANTHACEAE,Streblacanthus dubiosus,4.4 Protected areas,on going,
ACANTHACEAE,Streblacanthus dubiosus,1.2.1.3 Sub-national level,on going,
ACHATOCARPACEAE,Achatocarpus praecox,1.2.1.3 Sub-national level,on going,
ACHATOCARPACEAE,Achatocarpus praecox,1.1.2 Implementation,needed,
ADELOTHECIACEAE,Adelothecium bogotense,4.4 Protected areas,on going,
ADELOTHECIACEAE,Adelothecium bogotense,1.2.1.3 Sub-national level,on going,
ADELOTHECIACEAE,Adelothecium bogotense,1.2.1.3 Sub-national level,on going,
ALISMATACEAE,Echinodorus bolivianus,4.4 Protected areas,,
ALISMATACEAE,Echinodorus bolivianus,1.2.1.3 Sub-national level,,
ALISMATACEAE,Echinodorus paniculatus,1.2.1.3 Sub-national level,,
ALISMATACEAE,Echinodorus paniculatus,1.2.1.3 Sub-national level,,
ALISMATACEAE,Sagittaria lancifolia,1.2.1.3 Sub-national level,on going,
ALISMATACEAE,Sagittaria lancifolia,4.4 Protected areas,on going,
ALISMATACEAE,Sagittaria rhombifolia,1.2.1.3 Sub-national level,,
ALISMATACEAE,Sagittaria rhombifolia,4.4 Protected areas,,
ALSTROEMERIACEAE,Alstroemeria amabilis,1.2.1.2 National level,on going,
ALSTROEMERIACEAE,Alstroemeria apertiflora,1.2.1.2 National level,on going,
ALSTROEMERIACEAE,Alstroemeria brasiliensis,1.2.1.2 National level,on going,
ALSTROEMERIACEAE,Alstroemeria capixaba,1.2.1.2 National level,on going,
ALSTROEMERIACEAE,Alstroemeria capixaba,1.2.1.3 Sub-national level,on going,
ALSTROEMERIACEAE,Alstroemeria caryophyllaea,1.2.1.3 Sub-national level,on going,
ALSTROEMERIACEAE,Alstroemeria caryophyllaea,4.4 Protected areas,on going,
ALSTROEMERIACEAE,Alstroemeria inodora,1.2.1.3 Sub-national level,on going,
ALSTROEMERIACEAE,Alstroemeria inodora,4.4 Protected areas,on going,
ALSTROEMERIACEAE,Alstroemeria isabellana,4.4 Protected areas,on going,
ALSTROEMERIACEAE,Alstroemeria isabellana,1.2.1.3 Sub-national level,on going,
ALSTROEMERIACEAE,Alstroemeria malmeana,1.2.1.2 National level,on going,
ALSTROEMERIACEAE,Alstroemeria orchidioides,1.2.1.2 National level,on going,
ALSTROEMERIACEAE,Alstroemeria penduliflora,1.2.1.2 National level,on going,
ALSTROEMERIACEAE,Alstroemeria penduliflora,4.4 Protected areas,on going,
ALSTROEMERIACEAE,Alstroemeria variegata,1.2.1.2 National level,on going,
ALSTROEMERIACEAE,Alstroemeria variegata,4.4 Protected areas,on going,
AMARANTHACEAE,Alternanthera decurrens,3.2 Population numbers and range,needed,
AMARANTHACEAE,Alternanthera decurrens,1.2.1.2 National level,on going,
AMARANTHACEAE,Alternanthera decurrens,3.8 Conservation measures,on going,
AMARANTHACEAE,Alternanthera decurrens,4.4.1 Identification of new protected areas,needed,
AMARANTHACEAE,Alternanthera hirtula,5.7.1 Captive breeding/Artificial propagation,on going,
AMARANTHACEAE,Alternanthera hirtula,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Alternanthera januarensis,1.2.1.2 National level,on going,
AMARANTHACEAE,Alternanthera januarensis,3.8 Conservation measures,on going,
AMARANTHACEAE,Alternanthera malmeana,1.2.2.3 Sub-national level,on going,
AMARANTHACEAE,Alternanthera micrantha,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Alternanthera paronychioides,1.2.2.3 Sub-national level,on going,
AMARANTHACEAE,Alternanthera praelonga,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Alternanthera puberula,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Alternanthera reineckii,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Alternanthera sessilis,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Alternanthera tenella,1.2.2.3 Sub-national level,on going,
AMARANTHACEAE,Amaranthus rosengurtii,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Blutaparon portulacoides,1.2.2.3 Sub-national level,on going,
AMARANTHACEAE,Celosia grandifolia,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Chamissoa acuminata,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Chamissoa acuminata,4.4 Protected areas,on going,
AMARANTHACEAE,Chamissoa acuminata var. maximilianii,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Chamissoa acuminata var. maximilianii,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Chamissoa altissima,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Chamissoa altissima,4.4 Protected areas,on going,
AMARANTHACEAE,Froelichia interrupta,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Froelichia procera,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Froelichia procera,4.4 Protected areas,on going,
AMARANTHACEAE,Froelichiella grisea,1.2.1.2 National level,on going,
AMARANTHACEAE,Froelichiella grisea,4.4 Protected areas,on going,
AMARANTHACEAE,Froelichiella grisea,3.8 Conservation measures,on going,
AMARANTHACEAE,Gomphrena agrestis,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Gomphrena centrota,1.2.1.2 National level,on going,
AMARANTHACEAE,Gomphrena chrestoides,1.2.2.2 National level,on going,
AMARANTHACEAE,Gomphrena chrestoides,4.4 Protected areas,on going,
AMARANTHACEAE,Gomphrena chrestoides,3.2 Population numbers and range,needed,
AMARANTHACEAE,Gomphrena duriuscula,1.2.1.2 National level,on going,
AMARANTHACEAE,Gomphrena duriuscula,4.4 Protected areas,needed,
AMARANTHACEAE,Gomphrena duriuscula,5.7 Ex situ conservation actions,needed,
AMARANTHACEAE,Gomphrena duriuscula,3 Research actions,needed,
AMARANTHACEAE,Gomphrena elegans,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Gomphrena graminea,1.2.1.3 Sub-national level,on going,
AMARANTHACEAE,Gomphrena hatschbachiana,1.2.1.2 National level,on going,
