"Familia";"Especie";"Dispersão"
ARECACEAE;Attalea pindobassu;mamaliochory
POACEAE;Axonopus aureus;anemochory
VOCHYSIACEAE;Callisthene erythroclada;anemochory
CUNONIACEAE;Lamanonia brasiliensis;anemochory
BALANOPHORACEAE;Lophophytum rizzoi;hidrochory
BALANOPHORACEAE;Lophophytum rizzoi;zoochory
TURNERACEAE;Piriqueta caiapoensis;mimecochory
MYRTACEAE;Psidium firmum;zoochory
LORANTHACEAE;Psittacanthus acinarius;zoochory
VOCHYSIACEAE;Qualea elegans;anemochory
TURNERACEAE;Turnera cipoensis;mimecochory
VOCHYSIACEAE;Vochysia petraea;anemochory
VOCHYSIACEAE;Vochysia pygmaea;anemochory
VOCHYSIACEAE;Vochysia rotundifolia;anemochory
