"Familia";"Especie";"Endemica";"Altitude";"EOO";"AOO";"Válidos";"Inválidos";"Não validados";"Total registros"
ERIOCAULACEAE;Comanthera pignalii;yes;905;261,82km²;4,0km²;2;0;0;2;
CYPERACEAE;Abildgaardia papillosa;yes;1000;259,34km²;4,0km²;0;0;1;1;
MALPIGHIACEAE;Acmanthera fernandesii;yes;;256,82km²;4,0km²;0;1;1;2;
ERIOCAULACEAE;Actinocephalus aggregatus;yes;;535,56km²;8,0km²;0;0;2;2;
ERIOCAULACEAE;Actinocephalus callophyllus;yes;;534,1km²;8,0km²;0;0;4;4;
ERIOCAULACEAE;Actinocephalus compactus;yes;;533,17km²;8,0km²;0;0;8;8;
ERIOCAULACEAE;Actinocephalus coutoensis;yes;10;266,44km²;4,0km²;0;2;1;3;
ERIOCAULACEAE;Actinocephalus deflexus;yes;;130,7km²;16,0km²;0;0;5;5;
ERIOCAULACEAE;Actinocephalus diffusus;yes;;434,31km²;8,0km²;0;0;5;5;
ERIOCAULACEAE;Actinocephalus falcifolius;yes;1430;53,32km²;16,0km²;0;10;14;24;
ERIOCAULACEAE;Actinocephalus fimbriatus;yes;;440,75km²;8,0km²;0;0;2;2;
ERIOCAULACEAE;Actinocephalus glabrescens;yes;;537,44km²;8,0km²;0;0;3;3;
ERIOCAULACEAE;Actinocephalus graminifolius;yes;;268,16km²;4,0km²;0;1;1;2;
ERIOCAULACEAE;Actinocephalus herzogii;yes;1350~1500;621,01km²;36,0km²;8;3;3;14;
ERIOCAULACEAE;Actinocephalus nodifer;yes;;266,54km²;4,0km²;1;2;0;3;
ERIOCAULACEAE;Actinocephalus robustus;yes;;260,75km²;24,0km²;12;5;0;17;
ERIOCAULACEAE;Actinocephalus stereophyllus;yes;1200~1334;2.707,23km²;24,0km²;12;4;2;18;
BIGNONIACEAE;Adenocalymma subspicatum;yes;753;4.686,55km²;20,0km²;7;2;0;9;
FABACEAE;Aeschynomene graminoides;yes;984~1100;986,06km²;24,0km²;0;0;10;10;
FABACEAE;Aeschynomene simplicifolia;yes;1200;371,34km²;8,0km²;3;0;1;4;
BROMELIACEAE;Alcantarea burle-marxii;yes;620~1000;263,44km²;4,0km²;1;1;0;2;
BROMELIACEAE;Alcantarea hatschbachii;yes;;535,03km²;8,0km²;2;4;0;6;
ALSTROEMERIACEAE;Alstroemeria chapadensis;yes;;525,87km²;12,0km²;4;3;1;8;
MALPIGHIACEAE;Amorimia velutina;yes;;526,32km²;8,0km²;2;2;0;4;
POACEAE;Andropogon campestris;unkown;;279,18km²;4,0km²;1;4;0;5;
PLANTAGINACEAE;Angelonia pratensis;yes;300~1100;33.649,45km²;12,0km²;5;1;0;6;
ARACEAE;Anthurium megapetiolatum;yes;1287~1970;55.849,52km²;64,0km²;0;0;28;28;
CUCURBITACEAE;Apodanthera villosa;yes;950~1297;147,47km²;24,0km²;17;0;0;17;
APODANTHACEAE;Apodanthes minarum;yes;400;11.097,72km²;12,0km²;4;0;0;4;
POLYGALACEAE;Asemeia marquesiana;yes;;886,42km²;16,0km²;0;0;5;5;
POLYGALACEAE;Asemeia pohliana;;;539,63km²;8,0km²;0;1;2;3;
ASTERACEAE;Aspilia discolor;yes;;261,83km²;4,0km²;0;0;2;2;
ASTERACEAE;Aspilia goiazensis;yes;;15.710,02km²;16,0km²;0;0;5;5;
ASTERACEAE;Aspilia hatschbachii;yes;;533,76km²;8,0km²;0;0;2;2;
ASTERACEAE;Aspilia podophylla;yes;;262,8km²;4,0km²;0;0;2;2;
ASTERACEAE;Aspilia pseudoyedaea;yes;900;815,86km²;24,0km²;0;0;7;7;
ARECACEAE;Attalea pindobassu;yes;350~1200;62.944,01km²;96,0km²;19;10;0;29;
POACEAE;Axonopus aureus;no;0~2100;5.320.449,92km²;n/a;6;3;464;473;
POACEAE;Axonopus grandifolius;yes;500~1070;16.163,06km²;36,0km²;0;8;13;21;
MALPIGHIACEAE;Banisteriopsis arborea;yes;1000~1400;9.042,54km²;48,0km²;17;22;0;39;
MALPIGHIACEAE;Banisteriopsis byssacea;yes;;56.203,65km²;24,0km²;16;5;0;21;
MALPIGHIACEAE;Banisteriopsis goiana;yes;500~800;17.793,93km²;48,0km²;18;8;0;26;
