"Familia";"Especie";"Fitofisionomia"
ERIOCAULACEAE;Comanthera pignalii;Savana Parque
CYPERACEAE;Abildgaardia papillosa;Savana Estépica
CYPERACEAE;Abildgaardia papillosa;Savana
ERIOCAULACEAE;Actinocephalus deflexus;Savana Parque
ERIOCAULACEAE;Actinocephalus falcifolius;Savana
ERIOCAULACEAE;Actinocephalus herzogii;Savana Parque
ERIOCAULACEAE;Actinocephalus herzogii;Campinarana Arbustiva
ERIOCAULACEAE;Actinocephalus herzogii;Campinarana Gramíneo-Lenhosa.
ERIOCAULACEAE;Actinocephalus robustus;Savana Parque
ERIOCAULACEAE;Actinocephalus stereophyllus;Savana
BIGNONIACEAE;Adenocalymma subspicatum;Savana Arborizada
FABACEAE;Aeschynomene graminoides;Savana
FABACEAE;Aeschynomene graminoides;Savana Arborizada
FABACEAE;Aeschynomene graminoides;Savana Parque
FABACEAE;Aeschynomene graminoides;Savana Gramíneo-Lenhosa
FABACEAE;Aeschynomene simplicifolia;Savana
FABACEAE;Aeschynomene simplicifolia;Savana Parque
ALSTROEMERIACEAE;Alstroemeria chapadensis;Savana
PLANTAGINACEAE;Angelonia pratensis;Savana Parque
ARACEAE;Anthurium megapetiolatum;Floresta Estacional Sempre-verde de Submontana
ARACEAE;Anthurium megapetiolatum;Floresta Estacional Decidual Montana
ARACEAE;Anthurium megapetiolatum;Outros
CUCURBITACEAE;Apodanthera villosa;Savana Parque
CUCURBITACEAE;Apodanthera villosa;Savana Arborizada
APODANTHACEAE;Apodanthes minarum;Savana Parque
POLYGALACEAE;Asemeia marquesiana;Savana
POLYGALACEAE;Asemeia pohliana;Savana
ASTERACEAE;Aspilia goiazensis;Savana Parque
ASTERACEAE;Aspilia pseudoyedaea;Savana Parque
ASTERACEAE;Aspilia pseudoyedaea;Savana Florestada
ARECACEAE;Attalea pindobassu;Savana Arborizada
ARECACEAE;Attalea pindobassu;Savana Florestada
POACEAE;Axonopus grandifolius;Savana Parque
POACEAE;Axonopus grandifolius;Outros
MALPIGHIACEAE;Banisteriopsis arborea;Refúgios Ecológicos Alto-montanos
MALPIGHIACEAE;Banisteriopsis goiana;Savana
VELLOZIACEAE;Barbacenia andersonii;Savana Parque
VELLOZIACEAE;Barbacenia blackii;Savana Parque
VELLOZIACEAE;Barbacenia contasana;Savana Parque
VELLOZIACEAE;Barbacenia cylindrica;Savana Parque
VELLOZIACEAE;Barbacenia fulva;Savana Parque
VELLOZIACEAE;Barbacenia glabra;Savana Parque
VELLOZIACEAE;Barbacenia glabra;Savana Gramíneo-Lenhosa
VELLOZIACEAE;Barbacenia hatschbachii;Savana Parque
VELLOZIACEAE;Barbacenia lymansmithii;Savana Parque
VELLOZIACEAE;Barbacenia lymansmithii;Savana Gramíneo-Lenhosa
VELLOZIACEAE;Barbacenia reflexa;Savana Parque
VELLOZIACEAE;Barbacenia regis;Savana Parque
VELLOZIACEAE;Barbacenia umbrosa;Savana Parque
APOCYNACEAE;Barjonia grazielae;Savana Parque
FABACEAE;Bauhinia candelabriformis;Savana
FABACEAE;Bauhinia candelabriformis;Savana Parque
FABACEAE;Bauhinia leptantha;Floresta Estacional Decidual de Submontana
FABACEAE;Bauhinia leptantha;Savana
FABACEAE;Bauhinia leptantha;Savana Florestada
FABACEAE;Bauhinia leptantha;Savana Arborizada
FABACEAE;Bauhinia leptantha;Savana Estépica Parque
