occurrenceID;bibliographicCitation;institutionCode;collectionCode;catalogNumber;recordNumber;recordedBy;occurrenceRemarks;year;month;day;identifiedBy;yearIdentified;monthIdentified;dayIdentified;stateProvince;municipality;locality;decimalLatitude;decimalLongitude;family;genus;specificEpithet;infraspecificEpithet;scientificName;georeferenceRemarks;georeferenceProtocol;georeferenceVerificationStatus;georeferencedBy;georeferencedDate;georeferencePrecision;acceptedNameUsage
53ceafe810c43;;UFERSA;MOSS;11650;;Chacon, R.G.;;2007;01;20;Chacon, R.G.;2007;01;20;Goiás;São Jorge;"Chapada dos Veadeiros; trilha corrego Preguia.";-14.172752;-47.817278;Ochnaceae;Sauvagesia;lanceolata;;Sauvagesia lanceolata;;google earth;1;Thiago;04/02/14;5 a 10Km;Sauvagesia lanceolata
53ceafe810f14;;UFPE;UFP;196;1934;Pickel, D.B.;;1929;2;22;"Alves, M.; Luceño, M.";1996;10;;Pernambuco;Rio Formoso;Namucambinhas;-8.677286;-35.225364;Cyperaceae;Rhynchospora;tenuis;;Rhynchospora tenuis;;SIG;1;Marcelo;23/09/13;Centroide de Municipio;Rhynchospora tenuis
53ceafe811100;;MBM;MBM;248294;71050;Hatschbach, G.;;;;;Cabral, E.L.;;;;Goiás;São Domingos;Rod. GO-110, alto da Serra Geral de Goiás;-13.588201;-46.447148;Rubiaceae;Borreria;burchellii;;Borreria burchellii;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Borreria burchellii
53ceafe8111a5;Projeto Plantas Raras - shapefile;;;;;;;;;;;;;;Minas Gerais;Morro do Pilar/Conceição do Mato Dentro;"";-19.25;-43.383333;FABACEAE;Chamaecrista;fuscescens;;Chamaecrista fuscescens;;;1;Marcelo;26/09/13;;Chamaecrista fuscescens
53ceafe8112f3;;MBM;;141024;1667;Pirani, J.R.;;1987;2;6;;;;;Goiás;Alto Paraíso de Goiás;Parque Nacional da Chapada dos Veadeiros, próximo da cachoeira do Rio Preto, perto do povoado São Jorge;-14.1325;-47.51;LYTHRACEAE;Cuphea;cunninghamiifolia;;Cuphea cunninghamiifolia;;;1;Thiago;17/04/14;;Cuphea cunninghamiifolia
53ceafe811397;;HUFU;;58068;8361;R. Romero;"HABITAT:Campo rupestre solo arenoso.; DESC:Subarbusto cespitoso, ca. de 15 cm de altura. Corola púrpura, anteras maiores arroxeadas, menores amarelas, apêndice ventral do estame maior amarelo";2010;9;22;R. Romero;2010;9;22;Minas Gerais;Diamantina;"Estrada Diamantina-Conselheiro Mata; Km 172";-18.291278;-43.799558;MELASTOMATACEAE;Microlicia;scoparia;;Microlicia scoparia;;Google Earth;1;Thiago;18/02/14;10 a 50Km;Microlicia scoparia
53ceafe81143d;;MBM;;283856;;Hatschbach, G.;;2003;6;29;Wasshausen, D.C.;2005;1;1;Bahia;Poções;;-14.5297;-40.3653;Acanthaceae;Poikilacanthus;bahiensis;;Poikilacanthus bahiensis;;;1;Thiago;17/04/14;;Poikilacanthus bahiensis
53ceafe811697;;MBM;MBM;225996;315;Sakuragui, C.M.;;1993;10;1;Salimena-Pires, F.R.;;;;São Paulo;Avaré;Avaré;-23.061285;-48.908262;Verbenaceae;Lippia;lasiocalycina;;Lippia lasiocalycina;;SIG;1;Thiago;23/09/13;Centroide de Municipio;Lippia lasiocalycina
53ceafe811782;;IPA;IPA;85657;;Silva, R.R.;;2004;11;25;Silva, R.R.;2003;11;;Mato Grosso do Sul;Corumbá;Serra Tromba dos Macacos-Planalto Residual do Urucum. Acesso pela fazenda do Vovô Osvaldo.;-19.185278;-57.6525;Leguminosae-Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;;1;Thiago;17/04/14;;Bauhinia leptantha
53ceafe81185f;;NY;;1551894;3375;L. Emygdio;Fl. lilas escuro. Erva. Phenology of specimen: Flower.;1972;7;15;R. Romero;2012;;;Minas Gerais;;Serra da Gandarela;-20.056743;-43.60882;MELASTOMATACEAE;Microlicia;trichocalycina;;Microlicia trichocalycina;;Google Earth;1;Thiago;18/02/14;5 a 10Km;Microlicia trichocalycina
53ceafe811909;;BHCB;;133463;2262;F.F. Carmo;Altitude: min 0m. max 1624m;2008;2;10;;;;;Minas Gerais;Rio Acima;"Serra da Gandarela; em fendas e depressões de rocha; afloramento de canga";-20.904722;-43.683111;MELASTOMATACEAE;Trembleya;rosmarinoides;;Trembleya rosmarinoides;;;1;Thiago;18/02/14;;Trembleya rosmarinoides
53ceafe8119b6;;NY;;1551865;8676;J. Semir;;1978;11;;R. Romero;2012;;;Minas Gerais;Jaboticatubas;Serra do Cipó - km 114;-19.5136;-43.745;MELASTOMATACEAE;Microlicia;vernicosa;;Microlicia vernicosa;;;1;Thiago;18/02/14;;Microlicia vernicosa
53ceafe811a64;;IPA;IPA;85656;;Silva, R.R.;;2004;11;16;Silva, R.R.;2004;04;;Mato Grosso do Sul;Ladário;Serra do Rabichão-Planalto Residual do Urucum. Acesso pela Fazenda Uruba.;-19.076667;-57.468889;Leguminosae-Caes.;Bauhinia;leptantha;;Bauhinia leptantha;;;1;Thiago;17/04/14;;Bauhinia leptantha
53ceafe811b08;;JBRJ;RB;565346;;F. de M. Alves;;2006;11;30;G.M. Silva;;;;Mato Grosso do Sul;Corumbá;Assentamento Taquaral, Sítio Sogra do Pedro.;-18.424455;-56.652129;Leguminosae;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;Centroide de Municipio;Bauhinia leptantha
53ceafe811baa;;UNICAMP;UEC;141923;;"Silva, R.R.; Velasquez, J.S.; Velasquez, J.S.";;2003;01;17;Silva, R.R.;2003;01;;Mato Grosso do Sul;Corumbá;Serra Grande, Planalto Residual do Urucum. Interior de Floresta Estacional Decidual.;-19.225338;-57.579;Leguminosae-Caes;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe811c4c;;MN;R-TIPOS;21589;;Malme,G.O.A.;;1902;12;19;Vaz,A.M.S. da F.;2000;01;01;Mato Grosso;Corumbá;;-18.424455;-56.652129;Fabaceae;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;Centroide de Municipio;Bauhinia leptantha
53ceafe811cec;;JBRJ;RB;;;V.J. Pereira, M. Lopo, N. Parron L.M.;;;;;Angela Vaz;1990;8;;Mato Grosso;;Mun. de Corumbá, Faz. Estrada para Forte Coimbra.;-18.424455;-56.652129;Leguminosae;Bauhinia;leptantha;;Bauhinia leptantha;;;1;Thiago;17/04/14;Centroide de Municipio;Bauhinia leptantha
53ceafe811d8d;;UNICAMP;UEC;142661;;"Silva, R.R.; Velasquez, J.S.; Velasquez, J.S.";;2003;01;24;Silva, R.R.;2003;01;;Mato Grosso do Sul;Corumbá;Serra Grande, Planalto Residual do Urucum. Interior de Floresta Estacional Decidual.;-19.225338;-57.579;Leguminosae-Caes;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
53ceafe811e2d;;UNICAMP;UEC;141801;;"Silva, R.R.; Velásquez, J.S.; Velásquez, J.S.";;2003;12;16;Silva, R.R.;2003;12;;Mato Grosso do Sul;Corumbá;Acesso pelo Sítio Nossa Senhora Auxiliadora. Interior de floresta Estacional Decidual.;-18.424455;-56.652129;Leguminosae-Caes;Bauhinia;leptantha;;Bauhinia leptantha;;SIG;1;Thiago;17/04/14;Centroide de Municipio;Bauhinia leptantha
53ceafe811ed0;;JBRJ;RB;85527;;Pereira, E.;;1953;10;22;Angela Vaz;1995;4;17;Mato Grosso;;Mun. de Corumbá, Urucum.;-19.225338;-57.579;Leguminosae;Bauhinia;leptantha;;Bauhinia leptantha;;;1;Thiago;17/04/14;centroide de poligono;Bauhinia leptantha
